,219/189,189/169,149,149,149,179/139,,,,,,,209/169,179/159,179/159,,,,,,,,169,149,149,,
7,8,9,10,11,12,13,,,4,5,6,7,8,9,10,,,,April 24th: NEW STANDARD PRICING $159 to $149,5,6,7,8,9,10,,
149,139,139,139,139,189/179,179/159,,,139,149,139,139,139,169,179/159,,,,149,149,149,149,149,149,149,,
14,15,16,17,18,19,20,,,11,12,13,14,15,16,17,,,,11,12,13,14,15,16,17,,
139,139,139,169,139,139,159,,,139,149,139,149,169/149,179,169,,,,149,149,149,149,149,149,169,,
21,22,23,24,25,26,27,,,18,19,20,21,22,23,24,,,,18,19,20,21,22,23,24,,
149,139,149,149,159/139,159/139,159/139,,,139,169/159,139,139,139,169/149,179/159,,,,149,149,149,149,149,149,169,,
28,29,30,31,,,,,,25,26,27,28,29,30,,,,,25,26,27,28,29,30,,,
159/139,159/139,159/139,159,,,,,,149,189/169,189/169,229/169,229/179,219/199,,,,,149,149,149,149,149,169,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
TORONTO - JULY,,,,,,,JUL,,TORONTO - AUGUST,,,,,,,AUG,,,TORONTO NEW STANDARD PRICING: $159/H (JULY AND AUGUST),,,,,,,,SEP
,,,,,,,,,,,,,,,,,,,ONLY 3 MEN CREW TRUCKS AVAILABLE FOR LONG DISTANCE! OFFER 4TH GUY FOR A LOCAL MOVE ONLY! FOR LONG DISTANCE YOU CAN OFFER 4TH GUY TO HELP LOADING LOCALLY. OFFLOAD MUST BE 3 SINCE ONLY 3 CAN SIT IN THE TRUCK. ,,,,,,,,
SUNDAY,MONDAY,TUESDAY,WEDNESDAY,THURSDAY,FRIDAY,SATURDAY,,,SUNDAY,MONDAY,TUESDAY,WEDNESDAY,THURSDAY,FRIDAY,SATURDAY,,,,,,TUESDAY,WEDNESDAY,THURSDAY,FRIDAY,SATURDAY,,
,,,,,,1,,,,,1,2,3,4,5,,,,,,,,,1,2,,
,,,,,,239/199,,,,,219/199,189/159,179,179,159,,,,,,,,,159,149,,
2,3,4,5,6,7,8,,,6,7,8,9,10,11,12,,,,MIN PRICE: $134,4,5,6,7,8,9,,
179/159,179/159,189/159,169,159,169,169,,,159,159,169,159,159,159,189/159,,,,,149,149,149,149,149,149,,
9,10,11,12,13,14,15,,,13,14,15,16,17,18,19,,,,10,11,12,13,14,15,16,,
159,159,159,159,159,159,199/169,,,159,169,199,169,169,209/159,209/169,,,,149,149,149,149,149,149,149,,
